domain,skill_count,avg_pdei,median_pdei,avg_reach,avg_phi,avg_gamma,path_A_rate,path_B_rate,path_C_rate,path_D_rate,path_E_rate
Dom-11,23,2643.501304347826,1462.15,7.503739130434783,17.065217391304348,16.869565217391305,0.6521739130434783,0.8695652173913043,0.6086956521739131,0.5217391304347826,0.6521739130434783
Dom-9,24,1627.7725,721.715,8.338916666666666,12.416666666666666,8.916666666666666,0.20833333333333334,0.5833333333333334,0.16666666666666666,0.20833333333333334,0.5
Dom-1,21,1533.3033333333333,915.79,7.816190476190475,13.666666666666666,8.714285714285714,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.5714285714285714
Dom-17,25,1439.4147999999998,915.79,7.3738,13.54,11.2,0.24,0.8,0.28,0.2,0.68
Dom-15,16,1381.623125,359.225,8.0159375,12.28125,7.5,0.125,0.625,0.125,0.125,0.4375
Dom-12,22,1219.859090909091,228.02,7.49,11.772727272727273,7.681818181818182,0.13636363636363635,0.6818181818181818,0.13636363636363635,0.13636363636363635,0.4090909090909091
Dom-4,25,1057.8192,915.79,8.02116,13.8,9.08,0.08,0.92,0.08,0.04,0.72
Dom-2,25,1008.2572,513.12,6.8852,12.16,9.48,0.36,0.6,0.2,0.24,0.4
Dom-8,25,963.6296000000001,625.01,7.4006,11.7,8.4,0.08,0.92,0.08,0.08,0.56
Dom-3,25,921.5623999999999,828.96,7.603879999999999,11.68,7.8,0.08,0.72,0.08,0.08,0.56
Dom-10,25,905.7764,915.79,7.9605999999999995,12.58,8.32,0.04,0.84,0.0,0.04,0.72
Dom-14,25,798.62,789.49,6.996359999999999,12.5,8.4,0.04,0.72,0.04,0.08,0.72
Dom-5,25,646.054,233.17,8.0822,8.62,7.16,0.12,0.6,0.08,0.08,0.48
Dom-13,24,591.2133333333334,641.46,7.562291666666667,9.458333333333334,7.0,0.0,0.75,0.0,0.0,0.625
Dom-6,5,562.296,576.95,9.158,7.7,7.6,0.2,0.4,0.2,0.0,0.6
Dom-7,24,520.3508333333333,51.265,7.846208333333333,5.6875,4.541666666666667,0.041666666666666664,0.375,0.041666666666666664,0.041666666666666664,0.2916666666666667
Dom-16,25,510.23400000000004,493.43,7.334599999999999,8.36,6.52,0.04,0.68,0.04,0.0,0.52
